age,age_cats,married,gender,race,educ,par1_educ,par2_educ,partisan_7pt,curr_county,curr_dem_margin,curr_phi_80_96,curr_phi_00_16,curr_pop,curr_white_alone,curr_workers_outside_home,curr_bach_degree_higher,curr_median_income,curr_gini,curr_avg_commute,curr_city,hs_county,hs_dem_margin,hs_phi_80_96,hs_phi_00_16,hs_pop,hs_white_alone,hs_workers_outside_home,hs_bach_degree_higher,hs_median_income,hs_gini,hs_avg_commute,hs_city,tenure,county_7pt,city_7pt,city_income,vote_primary,vote_pres,vote_local,why_vote,vote_duty,vote_choice,protest,petition,campaign,money_pol,money_soc,contact_congress,contact_local,volunteer_org,volunteer_solo,volunteer_hrs,par_volunteer,par_pol,par_events,citizen_voting,citizen_volunteer,citizen_protest,fam_size,fam_partisan,fam_convo,school,school_sports,school_volunteer,school_political,club_volunteer,club_political,hs_voice,employ,work_hrs,work_convos,work_political,school_hrs,religion,social_trust,neighbor,interest,f2f_comfort,f2f_different,end_friend,best_interest,hate_speech,disruption,govt_trust,efficacy,govt_services,num_contacts,talk_pol,talk_pol_sim,pol_discuss,soc_media,sm_hrs,web_hrs,tv_hrs,sm_comfort,sm_different,post_similar,post_different,add_political,partisan_3pt
64,60 and above,Divorced,Male,White,Post-grad,High school graduate,High school graduate,Conservative,"davidson, nc",-48.4,29.32,40.22,163867,141927,67665,21196,43363,0.4365,24.13389492,Charlotte,"erie, ny",5.3,12.6,14.6,921584,724864,420598,200328,51247,0.4604,21.18092573,Buffalo,20,Conservative,Slightly Liberal,Very affluent,Yes,Yes,Yes,Mainly a duty,Very strongly,Moderately strongly,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Zero,,,Rarely,A great deal,A moderate amount,A little,4,4,Very often,Public school,Not too important,Not too important,Not too important,Rarely,Rarely,Not very often,Full-time,35,8,5,,A few times a year,Never,Somewhat comfortable,Always,Very comfortable,Very comfortable,No,A little,Yes,Disagree,Most of the time,Disagree,Govt should provide fewer services,5,4,4,Occasionally,,Zero to two,Zero to two,One to three,Somewhat comfortable,Very comfortable,Often,Rarely,Not very often,Conservative
51,45-59,Divorced,Male,White,4-year,High school graduate,High school graduate,Conservative,"mecklenburg, nc",29.4,9.92,16.54,990288,561253,461664,275628,56854,0.4939,25.2675214,Charlotte,"mecklenburg, nc",29.4,9.92,16.54,990288,561253,461664,275628,56854,0.4939,25.2675214,Charlotte,20,Slightly Liberal,Moderate,Affluent,Yes,Yes,Yes,Mainly a duty,Moderately strongly,A little strongly,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,One to Four,,,Not very often,A great deal,A great deal,A little,3,3,Very often,Public school,Somewhat important,Somewhat important,Somewhat important,Often,Not very often,Often,Full-time,50,6,2,,Every week,Never,Not too comfortable,Always,Very comfortable,Very comfortable,No,A little,Yes,Agree,Most of the time,Strongly disagree,Govt should provide fewer services,,5,3,Occasionally,Yes,Two to four,Two to four,Less than 1 hour,Very comfortable,Very comfortable,Very often,Rarely,Often,Conservative
22,18-29,Single,Female,White,2-year,High school graduate,4-year,Moderate,"mecklenburg, nc",29.4,9.92,16.54,990288,561253,461664,275628,56854,0.4939,25.2675214,Charlotte,"davidson, nc",-48.4,29.32,40.22,163867,141927,67665,21196,43363,0.4365,24.13389492,Charlotte,8,Liberal,Liberal,Middle class,Yes,Yes,No,Mainly a choice,Moderately strongly,Moderately strongly,No,Yes,No,No,Yes,No,No,No,No,Zero,A few times a year,Not at all,Rarely,A moderate amount,None at all,None at all,3,3,Not very often,Public school,Very important,Very important,Not too important,Not very often,Rarely,Often,Full-time,35,10,1,,A few times a year,About half the time,Not too comfortable,Some of the time,Somewhat comfortable,Not too comfortable,No,A great deal,Don't know,Agree,About half the time,Agree,Govt provides the right amount of services,4,2,2,Almost never,Yes,Four to six,Four to six,Less than 1 hour,Not too comfortable,Not comfortable at all,Rarely,Rarely,Rarely,Moderate
51,45-59,Single,Female,White,Post-grad,4-year,2-year,Conservative,"craven, nc",-21.5,15.06,19.92,104450,73667,44576,14965,47985,0.4252,20.77889447,New Bern,"monmouth, nj",-9.3,18.34,6.54,629185,519725,285942,184951,85242,0.4695,33.5327444,"Middletown, NJ",24,Conservative,Moderate,Middle class,Yes,Yes,Yes,Mainly a choice,Moderately strongly,Very strongly,No,No,No,No,No,No,No,Yes,No,Five to ten,Once or twice a month,Very involved,Not very often,A great deal,A great deal,A little,3,3,Often,Public school,Very important,Somewhat important,Not too important,Not very often,Not very often,Often,Full-time,50,20,10,,Every week,Most of the time,Very comfortable,Most of the time,Very comfortable,Very comfortable,No,A great deal,No,Strongly disagree,Some of the time,Disagree,Govt should provide fewer services,5,5,3,Most of the time,Yes,Zero to two,Zero to two,One to three,Somewhat comfortable,Somewhat comfortable,Not very often,Rarely,Rarely,Conservative
19,18-29,Single,Male,White,Some college,4-year,High school graduate,Extremely Conservative,"pitt, nc",7.6,6.72,7.7,173798,101984,77163,30393,41119,0.4953,19.86489639,Greenville,"pitt, nc",7.6,6.72,7.7,173798,101984,77163,30393,41119,0.4953,19.86489639,Greenville,18,Extremely Conservative,Conservative,Middle class,Yes,Yes,No,Mainly a choice,Moderately strongly,Very strongly,No,Yes,No,No,Yes,No,No,Yes,No,Five to ten,Once or twice a month,A little involved,Not very often,A moderate amount,A great deal,A little,3,3,Rarely,Public school,Very important,Somewhat important,Not too important,Very often,Rarely,Often,Student,,,,15,A few times a year,Most of the time,Somewhat comfortable,Most of the time,Somewhat comfortable,Not too comfortable,No,A great deal,Yes,Disagree,Never,Agree,Govt should provide fewer services,5,2,2,Occasionally,Yes,More than six,Four to six,Less than 1 hour,Not too comfortable,Not too comfortable,Often,Rarely,Not very often,Conservative
22,18-29,Single,Female,Black,4-year,4-year,Post-grad,Slightly Conservative,"wake, nc",20.2,8.32,11.04,976019,660230,455690,312039,67309,0.4444,24.10351335,Chapel Hill,"delaware, pa",22.3,15.5,18.32,561683,398489,252127,135665,65123,0.4758,28.32439604,Radnor Township,6,Conservative,Conservative,Affluent,Yes,Yes,No,Mainly a choice,Moderately strongly,Very strongly,No,No,No,No,Yes,No,No,Yes,Yes,One to Four,Every week,Very involved,Very often,A great deal,A great deal,A moderate amount,2,1,Not very often,Public school,Very important,Very important,Somewhat important,Very often,Not very often,Often,Full-time,55,10,4,,Almost every week,Most of the time,Somewhat comfortable,About half the time,Somewhat comfortable,Somewhat comfortable,No,A great deal,Yes,Disagree,Some of the time,Disagree,Govt should provide more services,5,3,3,Occasionally,Yes,Four to six,Two to four,Less than 1 hour,Somewhat comfortable,Not too comfortable,Often,Rarely,Often,Conservative
37,30-44,Married,Male,White,Post-grad,Some college,Post-grad,Liberal,"wake, nc",20.2,8.32,11.04,976019,660230,455690,312039,67309,0.4444,24.10351335,Raleigh,"craven, nc",-21.5,15.06,19.92,104450,73667,44576,14965,47985,0.4252,20.77889447,New Bern,20,Conservative,Slightly Conservative,Middle class,Yes,Yes,Yes,Mainly a choice,Moderately strongly,Very strongly,No,Yes,Yes,Yes,Yes,No,No,Yes,No,One to Four,Almost every week,Not at all,Rarely,A great deal,A great deal,A little,4,2,Rarely,Public school,Very important,Somewhat important,Somewhat important,Very often,Rarely,Often,Full-time,52,15,5,,Almost every week,Most of the time,Somewhat comfortable,Most of the time,Very comfortable,Somewhat comfortable,No,A great deal,Yes,Strongly disagree,Some of the time,Disagree,Govt should provide fewer services,5,5,4,Most of the time,Yes,Two to four,Zero to two,One to three,Somewhat comfortable,Somewhat comfortable,Not very often,Rarely,Not very often,Liberal
22,18-29,Single,Female,Black,4-year,Post-grad,4-year,Moderate,"orange, nc",50.3,23.56,39.6,138644,103958,63362,47769,59290,0.5254,22.26799975,Chapel Hill,"cumberland, pa",-17.8,28.28,20.96,241427,216409,115125,54807,61820,0.4263,21.55470141,"Harrisburg, PA",19,Slightly Conservative,Moderate,Middle class,No,No,No,Mainly a duty,Moderately strongly,Moderately strongly,Yes,No,No,No,Yes,No,No,Yes,No,More than ten,Once or twice a month,A little involved,Rarely,A moderate amount,A great deal,A little,4,2,Not very often,Private religious school,Very important,Somewhat important,Somewhat important,Often,Rarely,Very often,Part-time,15,2,0,0,Every week,Most of the time,Somewhat comfortable,Some of the time,Somewhat comfortable,Somewhat comfortable,No,A moderate amount,Yes,Disagree,About half the time,Disagree,,5,5,4,Most of the time,Yes,Two to four,Two to four,One to three,Not too comfortable,Not comfortable at all,Rarely,Rarely,Rarely,Moderate
40,30-44,Divorced,Male,White,4-year,4-year,4-year,Slightly Liberal,"cabarrus, nc",-19.6,28.28,25.14,188375,141034,83240,33517,54720,0.426,26.99531475,Harrisburg,"guilford, nc",19.9,9.96,11.56,506763,287617,220368,114006,45651,0.4831,21.31548138,Greensboro,3,Moderate,Moderate,Middle class,No,No,No,Mainly a choice,Not at all,Very strongly,No,No,No,No,Yes,No,No,Yes,No,Five to ten,A few times a year,A little involved,Rarely,None at all,A great deal,A little,3,0,Not very often,Public school,Somewhat important,Not at all important,Not at all important,Rarely,Rarely,Rarely,Full-time,50,30,10,,Almost every week,Most of the time,Very comfortable,Most of the time,Not too comfortable,Not too comfortable,No,A little,Yes,Agree,Some of the time,Strongly agree,Govt should provide more services,5,5,1,Occasionally,Yes,Zero to two,Zero to two,Less than 1 hour,Not too comfortable,Not too comfortable,Not very often,Rarely,Rarely,Liberal
18,18-29,Single,Female,White,Some college,4-year,2-year,Liberal,"iredell, nc",-36.3,24.46,31.8,165066,134454,71201,28781,52306,0.4706,24.6881364,Moresville,"iredell, nc",-36.3,24.46,31.8,165066,134454,71201,28781,52306,0.4706,24.6881364,Moresville,13,Conservative,Conservative,Affluent,Yes,Yes,Yes,Mainly a choice,A little strongly,Very strongly,Yes,No,Yes,No,No,No,Yes,Yes,No,Five to ten,A few times a year,A little involved,Rarely,A moderate amount,A moderate amount,A moderate amount,4,2,Often,Public school,Very important,Not too important,Not at all important,Often,Rarely,Rarely,Part-time,6,1,0,15,Never,Most of the time,Very comfortable,Most of the time,Somewhat comfortable,Somewhat comfortable,No,A moderate amount,No,Agree,Some of the time,Disagree,Govt should provide more services,3,3,2,Occasionally,Yes,Four to six,Zero to two,One to three,Somewhat comfortable,Not too comfortable,Not very often,Rarely,Rarely,Liberal
64,60 and above,Married,Female,White,4-year,High school graduate,High school graduate,Conservative,"cabarrus, nc",-19.6,28.28,25.14,188375,141034,83240,33517,54720,0.426,26.99531475,Concord,"spartanburg, sc",-30,19.4,26.22,291240,212585,121744,43836,43907,0.4464,22.40857866,Lyman,6,Slightly Conservative,Slightly Conservative,Middle class,Yes,Yes,Yes,Mainly a duty,Moderately strongly,A little strongly,No,No,No,No,Yes,No,No,Yes,No,More than ten,Never,A little involved,Rarely,A great deal,A moderate amount,A little,5,3,Often,Public school,Very important,Somewhat important,Not too important,Not very often,Rarely,Not very often,Retired,,,,,Almost every week,Most of the time,Somewhat comfortable,Most of the time,Somewhat comfortable,Not comfortable at all,No,A moderate amount,Yes,Agree,Some of the time,Agree,Govt should provide fewer services,5,5,3,Occasionally,Yes,Zero to two,Zero to two,More than three hours,Not comfortable at all,Not comfortable at all,Rarely,Rarely,Rarely,Conservative
20,18-29,Single,Male,White,Some college,4-year,4-year,Extremely Conservative,"somerset, nj",12.8,20.02,6.34,330604,225609,157606,119553,100667,0.4548,31.80814817,Basking Ridge,"somerset, nj",12.8,20.02,6.34,330604,225609,157606,119553,100667,0.4548,31.80814817,Basking Ridge,13,Slightly Conservative,Slightly Conservative,Very affluent,Yes,Yes,Yes,Mainly a duty,Very strongly,Not at all,No,Yes,No,Yes,No,Yes,No,No,No,Zero,Never,Not at all,Rarely,A great deal,A moderate amount,A little,0,1,Often,Public school,Somewhat important,Somewhat important,Not too important,Rarely,Rarely,Rarely,Student,40,7,1,30,A few times a year,About half the time,Somewhat comfortable,Always,Very comfortable,Very comfortable,Yes,A moderate amount,Yes,Strongly disagree,Never,Agree,Govt should provide many fewer services,1,0,0,Occasionally,Yes,Zero to two,Zero to two,More than three hours,Somewhat comfortable,Somewhat comfortable,Rarely,Rarely,Rarely,Conservative
50,45-59,Married,Male,White,No HS,4-year,4-year,Moderate,"northampton, pa",-3.8,6.86,5.44,299616,259095,136823,56270,60972,0.432,27.65675362,"Bethlehem, PA","essex, nj",56.8,21.16,50.66,791609,331872,338546,171517,53976,0.5447,33.57840589,"East orange, NJ",12,Moderate,Moderate,Middle class,Yes,Yes,,Mainly a choice,Moderately strongly,Very strongly,Yes,No,No,No,No,No,No,No,No,Zero,A few times a year,Not at all,Not very often,A great deal,A moderate amount,A moderate amount,0,3,Often,Private religious school,Somewhat important,Not at all important,Not at all important,Rarely,Rarely,Rarely,Unemployed,,0,0,,A few times a year,Some of the time,Not too comfortable,Always,Not too comfortable,Not too comfortable,No,A moderate amount,Yes,Disagree,About half the time,Disagree,Govt provides the right amount of services,2,2,2,Occasionally,Yes,Zero to two,Two to four,One to three,Not comfortable at all,Not comfortable at all,Rarely,Rarely,Rarely,Moderate
51,45-59,Married,Female,Hispanic,Some college,Some college,4-year,Liberal,"northampton, pa",-3.8,6.86,5.44,299616,259095,136823,56270,60972,0.432,27.65675362,"Bethlehem, PA",,,,,,,,,,,,,12,Moderate,Moderate,Middle class,Yes,Yes,,Mainly a choice,Moderately strongly,Very strongly,No,No,No,No,No,No,No,No,No,One to Four,Never,Not at all,Not very often,A moderate amount,None at all,A moderate amount,0,5,Rarely,Public school,Very important,Very important,Not at all important,Often,Rarely,Rarely,Full-time,37,0,0,,A few times a year,Some of the time,Not too comfortable,Some of the time,Not too comfortable,Not too comfortable,No,A moderate amount,Don't know,Strongly disagree,About half the time,Disagree,Govt should provide more services,1,1,1,Occasionally,,More than six,Four to six,One to three,Not too comfortable,Not comfortable at all,Rarely,Rarely,Rarely,Liberal
19,18-29,Single,Male,Hispanic,2-year,No HS,Some college,Slightly Liberal,"orange, nc",50.3,23.56,39.6,138644,103958,63362,47769,59290,0.5254,22.26799975,"Chapel Hill, NC","northampton, pa",-3.8,6.86,5.44,299616,259095,136823,56270,60972,0.432,27.65675362,"Bethlehem, PA",2,Moderate,Moderate,Middle class,No,No,No,Mainly a choice,Moderately strongly,Moderately strongly,No,Yes,No,No,No,No,No,No,No,Zero,A few times a year,Not at all,Rarely,A moderate amount,A moderate amount,A moderate amount,3,3,Not very often,Public school,Somewhat important,Somewhat important,Somewhat important,Not very often,Rarely,Not very often,Unemployed,,,,,A few times a year,About half the time,Not too comfortable,Most of the time,Somewhat comfortable,Somewhat comfortable,No,A little,Yes,Disagree,About half the time,Disagree,Govt provides the right amount of services,3,3,3,Occasionally,Yes,Four to six,Four to six,One to three,Somewhat comfortable,Somewhat comfortable,Often,Not very often,Often,Liberal
35,30-44,Married,Male,White,4-year,4-year,4-year,Conservative,"wake, nc",20.2,8.32,11.04,976019,660230,455690,312039,67309,0.4444,24.10351335,Raleigh,"mecklenburg, nc",29.4,9.92,16.54,990288,561253,461664,275628,56854,0.4939,25.2675214,Charlotte,12,Liberal,Liberal,Very affluent,Yes,Yes,No,Mainly a duty,Moderately strongly,A little strongly,No,No,No,Yes,No,No,No,Yes,No,One to Four,Never,Not at all,Rarely,A moderate amount,A moderate amount,None at all,2,3,Not very often,Public school,Somewhat important,Not too important,Not too important,Not very often,Rarely,Rarely,Full-time,45,5,3,,Every week,Most of the time,Somewhat comfortable,Most of the time,Somewhat comfortable,Not too comfortable,No,A moderate amount,Yes,Disagree,About half the time,Agree,Govt should provide fewer services,4,4,2,Occasionally,Yes,Zero to two,Zero to two,One to three,Not too comfortable,Not comfortable at all,Rarely,Rarely,Not very often,Conservative
49,45-59,Married,Female,Asian,Post-grad,Post-grad,Post-grad,Slightly Conservative,"chatham, nc",10,9.78,5.12,67431,53264,26572,18155,56642,0.4775,28.3349014,Cary,china,,,,,,,,,,,,0.5,Slightly Liberal,Slightly Liberal,Affluent,Yes,Yes,No,Mainly a duty,Very strongly,Not at all,No,No,No,No,No,No,No,Yes,No,One to Four,Never,Not at all,Rarely,A great deal,A little,None at all,3,3,Not very often,Public school,Somewhat important,Not too important,Not at all important,Not very often,Rarely,Rarely,Full-time,35,7,2,,Almost every week,About half the time,Not comfortable at all,Most of the time,Somewhat comfortable,Not too comfortable,No,A moderate amount,Yes,Disagree,Most of the time,Agree,Govt should provide fewer services,5,3,3,Occasionally,No,Zero to two,Zero to two,Less than 1 hour,Not comfortable at all,Not comfortable at all,Rarely,Rarely,Rarely,Conservative
18,18-29,Single,Male,White,Some college,4-year,4-year,Liberal,"orange, nc",50.3,23.56,39.6,138644,103958,63362,47769,59290,0.5254,22.26799975,Hillsborough,"orange, nc",50.3,23.56,39.6,138644,103958,63362,47769,59290,0.5254,22.26799975,Hillsborough,18,Conservative,Conservative,Poor,Not old enough,No,Not old enough,Mainly a choice,Not at all,Moderately strongly,Yes,No,No,No,No,No,No,Yes,Yes,Five to ten,A few times a year,A little involved,Rarely,A moderate amount,A moderate amount,A moderate amount,2,3,Often,Public school,Very important,Somewhat important,Somewhat important,Often,Not very often,Not very often,Student,,,,10,Almost every week,Some of the time,Not comfortable at all,About half the time,Somewhat comfortable,Not comfortable at all,No,A little,,Agree,Some of the time,Agree,Govt should provide more services,3,2,2,Most of the time,Yes,Four to six,Two to four,One to three,Not too comfortable,Not comfortable at all,Not very often,Rarely,Not very often,Liberal
20,18-29,Single,Male,White,Some college,4-year,4-year,Liberal,"forsyth, nc",10.4,12.08,9.86,361684,242474,152608,78674,45471,0.4872,21.0878853,Clemmons,"forsyth, nc",10.4,12.08,9.86,361684,242474,152608,78674,45471,0.4872,21.0878853,Clemmons,15,Moderate,Moderate,Middle class,Yes,Yes,No,Mainly a choice,Not at all,Moderately strongly,Yes,Yes,Yes,No,No,No,No,Yes,Yes,More than ten,Once or twice a month,A little involved,Rarely,A moderate amount,A moderate amount,A moderate amount,4,4,Often,Public school,Very important,Very important,Somewhat important,Very often,Often,Often,Student,,,,12,Every week,Some of the time,Not comfortable at all,Always,Very comfortable,Very comfortable,No,A moderate amount,,Strongly agree,Some of the time,Disagree,Govt should provide more services,3,2,2,Almost all the time,Yes,Two to four,Two to four,One to three,Very comfortable,Somewhat comfortable,Often,Not very often,Often,Liberal
55,45-59,Divorced,Female,White,4-year,4-year,4-year,Liberal,"coweta, ga",-42,24.84,43.16,133416,103085,58486,24123,62461,0.4225,30.51054953,Newnan ,"haywood, nc",-27.5,9.76,14.4,59170,56809,23194,10513,42257,0.4555,23.00487195,Waynesville ,4,Slightly Conservative,Slightly Conservative,Very affluent,Yes,Yes,No,Mainly a duty,Moderately strongly,Moderately strongly,No,No,No,No,Yes,No,No,Yes,No,One to Four,Never,Not at all,Rarely,A moderate amount,A moderate amount,A moderate amount,4,2,Often,Public school,Very important,Not too important,Not too important,Not very often,Rarely,Not very often,Full-time,40,5,2,,A few times a year,Most of the time,Very comfortable,Always,Very comfortable,Somewhat comfortable,No,None at all,Yes,Strongly disagree,About half the time,Disagree,Govt provides the right amount of services,5,4,3,Most of the time,No,Zero to two,Zero to two,Less than 1 hour,Not too comfortable,Not too comfortable,Rarely,Rarely,Rarely,Liberal
58,45-59,Divorced,Male,White,4-year,4-year,4-year,Conservative,"fayette, ga",-19.1,41.16,32.92,108655,77121,45424,31910,79066,0.4253,30.8013385,Peachtree City,"hall, ga",-50,27.2,51.48,187916,155460,79526,27212,51202,0.4554,26.04437542,Gainesville,25,Slightly Conservative,Conservative,Very affluent,Yes,Yes,No,Mainly a duty,Very strongly,Very strongly,No,No,No,Yes,Yes,No,No,No,No,Zero,Never,Not at all,Rarely,A great deal,A moderate amount,A little,4,0,Often,Public school,Very important,Not too important,Not too important,Not very often,Rarely,Not very often,Full-time,40,5,2,,Once or twice a month,Most of the time,Not too comfortable,Always,Very comfortable,Very comfortable,No,A moderate amount,Yes,Strongly disagree,Some of the time,Strongly disagree,Govt should provide many fewer services,5,3,2,Almost all the time,No,Zero to two,Zero to two,One to three,Very comfortable,Very comfortable,Very often,Rarely,Very often,Conservative
20,18-29,Single,Female,White,Some college,4-year,4-year,Slightly Liberal,"davidson, tn",26,12.38,18.64,658506,411152,318940,166375,48368,0.4881,23.84033047,Nashville ,"fayette, ga",-19.1,41.16,32.92,108655,77121,45424,31910,79066,0.4253,30.8013385,Peachtree City ,9,Slightly Conservative,Moderate,Very affluent,No,Yes,No,Mainly a choice,Moderately strongly,Moderately strongly,Yes,Yes,No,No,No,No,No,Yes,No,One to Four,Never,Not at all,Rarely,A moderate amount,A moderate amount,A great deal,3,3,Very often,Public school,Very important,Not too important,Not too important,Not very often,Often,Very often,Student,6,2,0,8,A few times a year,About half the time,Not comfortable at all,Always,Very comfortable,Very comfortable,No,A little,No,Strongly disagree,Some of the time,Disagree,Govt should provide more services,5,5,4,Almost all the time,Yes,Two to four,Two to four,One to three,Somewhat comfortable,Somewhat comfortable,Not very often,Not very often,Rarely,Liberal
21,18-29,Single,Male,White,Some college,4-year,4-year,Moderate,"boulder, co",48.3,15.28,36.8,,,,,,,,Boulder ,"fayette, ga",-19.1,41.16,32.92,108655,77121,45424,31910,79066,0.4253,30.8013385,Peachtree City ,18,Moderate,Moderate,Very affluent,No,Yes,No,Mainly a choice,Moderately strongly,Moderately strongly,No,No,No,No,No,No,No,No,No,Zero,Never,Not at all,Rarely,A little,A little,A little,3,1,Not very often,Public school,Very important,Not too important,Not too important,Rarely,Rarely,Very often,Student,,,,5,Never,Some of the time,Very comfortable,Most of the time,Very comfortable,Very comfortable,No,A little,Yes,Strongly disagree,Some of the time,Disagree,Govt provides the right amount of services,5,3,2,Occasionally,Yes,Two to four,Two to four,One to three,Somewhat comfortable,Somewhat comfortable,Not very often,Not very often,Rarely,Moderate
49,45-59,Married,Female,White,Some college,High school graduate,High school graduate,Moderate,"moore, nc",-29.1,21.22,27.02,91743,75967,35768,21519,50998,0.4734,24.05711809,"Pinehurst, NC","vigo, in",-15.1,9.1,7.88,108268,94752,45467,15588,40313,0.4676,20.10414147,"Terre Haute, IN",1.5,Extremely Conservative,Conservative,Middle class,Yes,Yes,No,Mainly a duty,Moderately strongly,Moderately strongly,No,No,No,Yes,No,No,No,Yes,No,One to Four,A few times a year,A little involved,Rarely,A great deal,A moderate amount,A little,3,1,Very often,Public school,Very important,Somewhat important,Not too important,Often,Not very often,Often,Homemaker,,,,,A few times a year,Some of the time,Not too comfortable,Most of the time,Very comfortable,Somewhat comfortable,No,A little,Yes,Strongly disagree,About half the time,Disagree,Govt provides the right amount of services,3,3,2,Almost never,Yes,Zero to two,Zero to two,More than three hours,Somewhat comfortable,Not too comfortable,Not very often,Rarely,Rarely,Moderate
48,45-59,Married,Male,White,Some college,High school graduate,High school graduate,Conservative,"moore, nc",-29.1,21.22,27.02,91743,75967,35768,21519,50998,0.4734,24.05711809,"Pinehurst, NC","clay, in",-55.2,20.18,33.04,26686,25987,11294,2751,47602,0.4041,25.35062865,"Brazil, IN",2,Extremely Conservative,Conservative,Poor,Yes,Yes,Yes,Mainly a duty,Moderately strongly,A little strongly,No,No,No,Yes,No,No,No,Yes,No,One to Four,Never,Not at all,Rarely,A little,A great deal,None at all,3,1,Very often,Public school,Very important,Not too important,Not too important,Not very often,Rarely,Not very often,Full-time,40,3,3,,A few times a year,About half the time,Somewhat comfortable,Always,Very comfortable,Very comfortable,No,A little,Yes,Disagree,Some of the time,Strongly disagree,Govt should provide fewer services,3,2,2,Most of the time,Yes,Zero to two,Zero to two,Less than 1 hour,Very comfortable,Very comfortable,Often,Not very often,Often,Conservative
21,18-29,Single,Male,White,Some college,4-year,Post-grad,Slightly Liberal,"orange, nc",50.3,23.56,39.6,138644,103958,63362,47769,59290,0.5254,22.26799975,"Chapel Hill, NC","rowan, nc",-36.4,26.8,30.38,138361,108084,53513,16533,43069,0.4403,23.92231794,"Salisbury, NC",18,Conservative,Slightly Conservative,Middle class,Yes,Yes,No,Mainly a choice,A little strongly,Moderately strongly,No,No,No,No,No,Yes,No,Yes,Yes,Five to ten,Once or twice a month,Moderately involved,Not very often,A great deal,A moderate amount,A moderate amount,2,2,Often,Public school,Somewhat important,Very important,Somewhat important,Very often,Very often,Very often,Part-time,15,1,0,20,A few times a year,About half the time,Somewhat comfortable,Always,Very comfortable,Somewhat comfortable,No,A moderate amount,Don't know,Disagree,Most of the time,Disagree,Govt should provide more services,5,3,3,Occasionally,Yes,Two to four,Zero to two,One to three,Not too comfortable,Not too comfortable,Very often,Not very often,Not very often,Liberal
20,18-29,Single,Male,Black,Some college,Some college,4-year,Liberal,"orange, nc",50.3,23.56,39.6,138644,103958,63362,47769,59290,0.5254,22.26799975,"Chapel Hill, NC","mecklenburg, nc",29.4,9.92,16.54,990288,561253,461664,275628,56854,0.4939,25.2675214,"Charlotte, NC",7,Slightly Liberal,Moderate,Affluent,Yes,Yes,No,Mainly a choice,Not at all,Very strongly,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Five to ten,Almost every week,Moderately involved,Often,A great deal,A great deal,A great deal,4,3,Not very often,Private non-religious (secular) school,Not at all important,Very important,Very important,Very often,Very often,Very often,Part-time,18,0,0,20,Never,Some of the time,Somewhat comfortable,About half the time,Very comfortable,Not too comfortable,No,A great deal,Yes,Disagree,About half the time,Disagree,Govt should provide more services,4,4,3,Most of the time,Yes,Two to four,Zero to two,One to three,Very comfortable,Somewhat comfortable,Very often,Rarely,Often,Liberal
57,45-59,Married,Male,White,4-year,Some college,Some college,Slightly Conservative,"alamance, nc",-12.7,21.52,16.82,155258,109891,67580,22391,41814,0.4608,23.66439775,Elon,"alamance, nc",-12.7,21.52,16.82,155258,109891,67580,22391,41814,0.4608,23.66439775,Burlington,5,Conservative,Conservative,Middle class,Yes,Yes,No,Neither,Moderately strongly,Very strongly,No,No,No,No,No,No,No,Yes,No,More than ten,Never,Not at all,Rarely,A moderate amount,A great deal,None at all,3,1,Not very often,Public school,Very important,Not too important,Not at all important,Not very often,Rarely,Not very often,Full-time,45,0,0,,Once or twice a month,About half the time,Somewhat comfortable,Most of the time,Not too comfortable,Not comfortable at all,No,A moderate amount,Don't know,Agree,About half the time,Disagree,Govt should provide fewer services,5,5,3,Occasionally,No,Zero to two,Two to four,One to three,Not comfortable at all,Not comfortable at all,Rarely,Rarely,Rarely,Conservative
47,45-59,Married,Female,White,4-year,4-year,2-year,Conservative,"alamance, nc",-12.7,21.52,16.82,155258,109891,67580,22391,41814,0.4608,23.66439775,Elon,"westchester, ny",32.5,14.7,24.84,967315,644076,431852,308054,83958,0.5375,32.89535535,"Manhattan, NY",22,Conservative,Conservative,Middle class,Yes,Yes,No,Mainly a choice,A little strongly,Very strongly,No,No,No,No,No,No,No,Yes,No,More than ten,Every week,Not at all,Rarely,A moderate amount,A great deal,None at all,3,1,Not very often,Private religious school,Not at all important,Not too important,Somewhat important,Rarely,Rarely,Often,Full-time,55,2,0,,Once or twice a month,Most of the time,Very comfortable,Never,Not comfortable at all,Not comfortable at all,No,A little,Yes,Strongly disagree,Some of the time,Disagree,Govt should provide fewer services,4,0,0,Almost never,Yes,Zero to two,Zero to two,Less than 1 hour,Not comfortable at all,Not comfortable at all,Rarely,Rarely,Rarely,Conservative
